1,인문대학
2,자연과학대학
3,법과대학
4,사회과학대학
5,경제통상대학
6,경영대학
7,공과대학
8,IT대학
9,베어드학부대학
10,예술창작학부
11,스포츠학부
12,융합특성화자유전공학부
